S010	0	1	1	0	1	-1	1	-1	1	0	0	1	1	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S017	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	1	-1	1	-1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S027	1	1	0	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S051	1	1	0	1	1	1	1	-1	1	0	1	0	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S055	1	1	1	1	-1	-1	1	-1	1	1	1	0	1	1	1	-1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S057	1	1	1	1	-1	-1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	-1	1
S090	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S105	1	1	0	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	-1	1	1	1	-1	-1	1	-1	1	1	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S106	1	1	1	1	1	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S118	1	1	1	0	1	1	1	-1	1	1	0	1	1	1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1
S127	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0
S131	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	0	0	0	0	0	0	0
